old_url,new_url,content_type,redirect_action,title,meta_description,word_count,notes
https://dancehallmuseum.org/journal/,/journal/,page,n/a (canonical),Journal,,444,Primary site page. Migrate content as-is.
https://dancehallmuseum.org/support/,/support/,page,n/a (canonical),Support,,630,Primary site page. Migrate content as-is.
https://dancehallmuseum.org/category/journal/,/journal/category/journal/,taxonomy (category),301,Journal,,906,"WP category archive, thin (906 words, auto-generated post listing). Recreate as a filtered journal view if the new site supports it; otherwise redirect to /journal/."
https://dancehallmuseum.org/category/about/,/journal/category/about/,taxonomy (category),301,ABOUT,,127,"WP category archive, thin (127 words, auto-generated post listing). Recreate as a filtered journal view if the new site supports it; otherwise redirect to /journal/."
https://dancehallmuseum.org/category/artist/,/journal/category/artist/,taxonomy (category),301,ARTIST,,291,"WP category archive, thin (291 words, auto-generated post listing). Recreate as a filtered journal view if the new site supports it; otherwise redirect to /journal/."
https://dancehallmuseum.org/tag/bogle/,/journal/,taxonomy (tag),301,Bogle,,134,Thin tag archive (134 words). Low SEO value standalone — redirect to /journal/ rather than rebuilding.
https://dancehallmuseum.org/tag/latonya-style/,/journal/,taxonomy (tag),301,Latonya Style,,136,Thin tag archive (136 words). Low SEO value standalone — redirect to /journal/ rather than rebuilding.
https://dancehallmuseum.org/tag/carlene-smith/,/journal/,taxonomy (tag),301,Carlene Smith,,129,Thin tag archive (129 words). Low SEO value standalone — redirect to /journal/ rather than rebuilding.
https://dancehallmuseum.org/tag/dancehall-queen-carlene/,/journal/,taxonomy (tag),301,dancehall queen carlene,,131,Thin tag archive (131 words). Low SEO value standalone — redirect to /journal/ rather than rebuilding.
https://dancehallmuseum.org/tag/shabba-ranks/,/journal/,taxonomy (tag),301,Shabba Ranks,,123,Thin tag archive (123 words). Low SEO value standalone — redirect to /journal/ rather than rebuilding.
